"Crop","Season","Area-2000-01","Area-2001-02","Area-2002-03","Area-2003-04","Area-2004-05","Area-2005-06","Area-2006-07","Area-2007-08","Area-2008-09","Area-2009-10","Area-2010-11","Area-2011-12","Area-2012-13","Area-2013-14","Area-2014-15","Area-2015-16","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26"
"Rice","Kharif","407.03","406.19","380.37","392.30","383.64","393.35","396.01","394.72","408.10","376.02","380.18","401.23","389.14","394.49","398.29","396.56","398.46","393.49","399.64","390.13","403.58","410.38","404.03","407.34","434.66","445.64"
"Rice","Rabi","40.09","42.85","31.39","33.62","35.43","43.25","42.12","44.42","47.27","43.16","48.45","38.83","38.40","46.87","42.82","38.43","41.48","44.25","41.92","46.49","54.11","52.40","43.28","40.76","44.73","45.89"
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","31.01","30.18","33.28",""
"Rice","Total","447.12","449.04","411.76","425.92","419.07","436.60","438.14","439.14","455.37","419.18","428.62","440.06","427.54","441.36","441.11","434.99","439.93","437.74","441.56","436.62","457.69","462.79","478.32","478.28","512.67","491.52"
"Wheat","Rabi","257.30","263.45","251.96","265.95","263.83","264.84","279.94","280.39","277.52","284.57","290.69","298.65","300.03","304.73","314.66","304.18","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","328.04","334.55"
"Wheat","Total","257.30","263.45","251.96","265.95","263.83","264.84","279.94","280.39","277.52","284.57","290.69","298.65","300.03","304.73","314.66","304.18","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","328.04","334.55"
"Maize","Kharif","59.87","59.34","59.76","65.90","65.94","67.58","69.60","71.19","68.95","70.63","72.82","73.81","72.14","73.10","75.63","71.80","78.42","74.34","73.31","75.53","77.55","77.85","80.53","83.29","84.61","98.18"
"Maize","Rabi","6.24","6.48","6.59","7.53","8.36","8.30","9.34","9.99","12.79","11.98","12.71","14.01","14.58","17.57","16.22","16.26","17.92","19.46","16.97","20.16","21.37","21.73","21.83","21.75","27.80","30.18"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","5.08","7.37","8.50",""
"Maize","Total","66.11","65.82","66.35","73.43","74.30","75.88","78.94","81.17","81.74","82.62","85.53","87.82","86.73","90.66","91.85","88.06","96.33","93.80","90.27","95.69","98.92","99.58","107.44","112.41","120.91","128.35"
