"Crop","Season","Production-2000-01","Production-2001-02","Production-2002-03","Production-2003-04","Production-2004-05","Production-2005-06","Production-2006-07","Production-2007-08","Production-2008-09","Production-2009-10","Production-2010-11","Production-2011-12","Production-2012-13","Production-2013-14","Production-2014-15","Production-2015-16","Production-2016-17","Production-2017-18","Production-2018-19","Production-2019-20","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26"
"Rice","Kharif","727.78","805.22","630.83","786.18","722.30","782.72","801.71","827.03","849.51","759.07","806.07","927.38","923.59","914.97","913.92","914.13","963.03","971.35","1020.40","1022.77","1052.08","1110.01","1105.12","1132.59","1227.72","1239.28"
"Rice","Rabi","121.98","128.18","87.37","99.08","109.02","135.22","131.84","139.90","142.31","131.76","153.63","125.63","128.73","151.49","140.91","129.95","133.96","156.22","144.38","165.94","191.60","184.71","150.04","146.01","161.29","167.20"
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","102.40","99.65","112.84",""
"Rice","Total","849.77","933.40","718.20","885.26","831.32","917.93","933.55","966.93","991.82","890.83","959.70","1053.01","1052.32","1066.46","1054.82","1044.08","1096.98","1127.58","1164.78","1188.70","1243.68","1294.71","1357.55","1378.25","1501.84","1406.48"
"Wheat","Rabi","696.81","727.66","657.61","721.56","686.37","693.54","758.07","785.70","806.79","808.04","868.74","948.82","935.06","958.50","865.27","922.88","985.10","998.70","1035.96","1078.61","1095.86","1077.42","1105.54","1132.92","1179.45","1202.10"
"Wheat","Total","696.81","727.66","657.61","721.56","686.37","693.54","758.07","785.70","806.79","808.04","868.74","948.82","935.06","958.50","865.27","922.88","985.10","998.70","1035.96","1078.61","1095.86","1077.42","1105.54","1132.92","1179.45","1202.10"
"Maize","Kharif","102.20","112.48","92.72","127.34","114.76","121.56","115.56","151.07","141.21","122.93","166.37","164.86","162.04","171.45","170.14","160.53","189.19","201.18","194.14","194.29","215.55","226.81","236.74","222.45","248.08","302.47"
"Maize","Rabi","18.24","19.12","18.79","22.50","26.96","25.54","35.41","38.49","56.11","44.26","50.88","52.73","60.54","71.14","71.59","65.14","69.81","86.34","83.02","93.37","100.92","110.49","116.90","120.28","147.53","159.03"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","27.21","33.92","38.47",""
"Maize","Total","120.43","131.60","111.52","149.84","141.72","147.10","150.97","189.55","197.31","167.19","217.26","217.59","222.58","242.60","241.73","225.67","259.00","287.53","277.15","287.66","316.47","337.30","380.85","376.65","434.09","461.49"
"Barley","Rabi","14.31","14.24","14.07","12.98","12.07","12.21","13.28","11.96","16.89","13.55","16.63","16.19","17.52","18.31","16.13","14.38","17.47","17.81","16.33","17.22","16.56","13.71","19.13","16.99","19.19","23.40"
"Barley","Total","14.31","14.24","14.07","12.98","12.07","12.21","13.28","11.96","16.89","13.55","16.63","16.19","17.52","18.31","16.13","14.38","17.47","17.81","16.33","17.22","16.56","13.71","19.13","16.99","19.19","23.40"
"Jowar","Kharif","45.61","42.29","42.23","48.44","40.44","40.72","37.07","41.15","30.52","27.63","34.39","32.93","28.40","23.93","23.00","18.16","19.64","22.74","17.35","16.97","19.86","15.98","14.80","15.09","17.37","11.30"
"Jowar","Rabi","29.68","33.28","27.90","18.38","32.00","35.58","34.44","38.11","41.94","39.35","35.64","26.86","24.41","31.49","31.45","24.22","26.04","25.30","17.40","30.75","28.26","25.52","23.22","31.89","31.87","30.98"
"Jowar","Summer","","","","","","","","","","","","","","","","","","","","","","","0.13","0.40","0.30",""
"Jowar","Total","75.29","75.57","70.12","66.81","72.44","76.30","71.51","79.26","72.46","66.98","70.03","59.79","52.81","55.42","54.45","42.38","45.68","48.03","34.75","47.72","48.12","41.51","38.14","47.37","49.55","42.28"
"Bajra","Kharif","64.86","80.29","44.89","117.36","76.24","73.79","81.36","95.02","84.50","60.99","96.84","94.99","87.42","92.50","91.84","80.67","97.30","92.09","86.64","103.63","108.63","97.81","103.49","96.63","99.78","88.36"
"Bajra","Rabi","2.73","2.55","2.30","3.73","3.07","3.05","2.88","4.68","4.37","4.07","6.86","7.77","","","","","","","","","","","","","",""
"Bajra","Summer","","","","","","","","","","","","","","","","","","","","","","","10.82","10.53","12.27",""
"Bajra","Total","67.59","82.84","47.19","121.09","79.31","76.84","84.24","99.70","88.87","65.06","103.70","102.76","87.42","92.50","91.84","80.67","97.30","92.09","86.64","103.63","108.63","97.81","114.31","107.16","112.05","88.36"
"Ragi","Kharif","26.86","23.14","12.47","19.44","23.92","22.50","13.51","20.76","19.73","18.30","21.02","19.29","15.74","19.83","20.61","18.22","13.85","19.85","12.39","17.55","19.98","17.01","16.91","16.70","19.77","20.07"
"Ragi","Rabi","0.45","0.61","0.68","0.22","0.41","1.03","0.92","0.76","0.67","0.58","0.91","0.00","","","","","","","","","","","","","",""
"Ragi","Total","27.32","23.75","13.16","19.66","24.32","23.54","14.44","21.52","20.40","18.88","21.93","19.29","15.74","19.83","20.61","18.22","13.85","19.85","12.39","17.55","19.98","17.01","16.91","16.70","19.77","20.07"
"Small Millets","Kharif","5.87","5.77","4.59","5.64","4.78","4.72","4.80","5.51","4.45","3.82","4.42","4.52","4.36","4.30","3.86","3.91","4.42","4.39","3.33","3.71","3.47","3.67","3.84","4.49","4.56","3.69"
"Small Millets","Total","5.87","5.77","4.59","5.64","4.78","4.72","4.80","5.51","4.45","3.82","4.42","4.52","4.36","4.30","3.86","3.91","4.42","4.39","3.33","3.71","3.47","3.67","3.84","4.49","4.56","3.69"
"Tur","Kharif","22.46","22.60","21.86","23.56","23.47","27.38","23.14","30.76","22.66","24.65","28.61","26.54","30.23","31.74","28.07","25.61","48.73","42.90","33.15","38.92","43.16","42.20","33.12","34.17","36.24","34.55"
"Tur","Total","22.46","22.60","21.86","23.56","23.47","27.38","23.14","30.76","22.66","24.65","28.61","26.54","30.23","31.74","28.07","25.61","48.73","42.90","33.15","38.92","43.16","42.20","33.12","34.17","36.24","34.55"
"Gram","Rabi","38.55","54.73","42.37","57.18","54.69","56.00","63.34","57.49","70.60","74.76","82.21","77.02","88.32","95.26","73.32","70.58","93.78","113.79","99.38","110.78","119.11","135.44","122.67","110.39","111.14","117.92"
"Gram","Total","38.55","54.73","42.37","57.18","54.69","56.00","63.34","57.49","70.60","74.76","82.21","77.02","88.32","95.26","73.32","70.58","93.78","113.79","99.38","110.78","119.11","135.44","122.67","110.39","111.14","117.92"
"Urad","Kharif","7.72","9.80","10.04","12.00","9.48","8.96","9.42","11.20","8.44","8.26","14.15","12.52","15.02","11.51","12.82","12.50","21.76","27.51","23.63","13.30","15.07","18.65","17.68","16.04","13.41","12.06"
"Urad","Rabi","5.24","5.19","4.69","2.71","3.78","3.49","5.00","3.37","3.31","4.27","3.63","5.33","4.69","5.50","6.79","6.96","6.55","7.41","6.97","7.52","7.23","9.11","6.33","4.87","5.53","5.08"
"Urad","Summer","","","","","","","","","","","","","","","","","","","","","","","2.30","2.28","3.48",""
"Urad","Total","12.96","14.99","14.74","14.71","13.27","12.45","14.43","14.57","11.75","12.53","17.79","17.85","19.71","17.00","19.61","19.45","28.32","34.92","30.60","20.81","22.30","27.76","26.31","23.19","22.42","17.14"
"Moong","Kharif","7.62","8.36","6.13","13.92","7.80","6.59","8.07","12.23","7.50","4.04","14.96","12.15","7.86","9.58","8.67","10.00","16.43","14.33","17.84","18.26","19.96","14.80","17.18","11.54","17.74","19.82"
"Moong","Rabi","2.37","2.43","2.29","2.75","2.47","2.75","3.13","2.77","2.61","2.61","3.27","3.93","4.01","6.48","6.36","5.93","5.22","5.90","6.71","6.83","10.89","16.86","1.10","1.01","1.00","0.87"
"Moong","Summer","","","","","","","","","","","","","","","","","","","","","","","18.48","18.47","23.70",""
"Moong","Total","9.99","10.78","8.42","16.68","10.26","9.34","11.20","15.00","10.11","6.65","18.23","16.08","11.86","16.06","15.03","15.93","21.65","20.23","24.55","25.09","30.85","31.66","36.76","31.03","42.44","20.69"
"Lentil","Rabi","9.15","9.74","8.73","10.38","9.94","9.46","9.13","8.12","9.53","10.31","9.43","10.58","11.34","10.17","10.35","9.76","12.24","16.22","12.28","11.03","14.94","12.69","15.59","17.91","16.54","17.33"
"Lentil","Total","9.15","9.74","8.73","10.38","9.94","9.46","9.13","8.12","9.53","10.31","9.43","10.58","11.34","10.17","10.35","9.76","12.24","16.22","12.28","11.03","14.94","12.69","15.59","17.91","16.54","17.33"
"Other Pulses","Kharif","6.68","7.63","3.48","12.15","6.43","5.72","7.32","9.84","8.27","4.99","13.47","9.36","6.05","7.15","7.76","7.20","8.89","8.31","6.29","8.73","7.99","6.69","8.24","7.99","9.93","9.83"
"Other Pulses","Rabi","10.95","13.20","11.66","14.39","13.23","13.49","13.42","11.84","12.75","12.63","12.66","13.45","15.91","15.18","17.39","14.71","17.68","17.78","14.50","14.89","16.28","16.58","17.90","17.78","18.11","21.21"
"Other Pulses","Total","17.63","20.83","15.14","26.55","19.66","19.21","20.74","21.69","21.02","17.62","26.13","22.81","21.96","22.33","25.15","21.91","26.57","26.10","20.79","23.62","24.27","23.27","26.14","25.77","28.04","31.04"
