"Crop","Season","Yield-2000-01","Yield-2001-02","Yield-2002-03","Yield-2003-04","Yield-2004-05","Yield-2005-06","Yield-2006-07","Yield-2007-08","Yield-2008-09","Yield-2009-10","Yield-2010-11","Yield-2011-12","Yield-2012-13","Yield-2013-14","Yield-2014-15","Yield-2015-16","Yield-2016-17","Yield-2017-18","Yield-2018-19","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Kharif","1788.00","1982.00","1658.00","2004.00","1883.00","1990.00","2024.00","2095.00","2082.00","2019.00","2120.00","2311.00","2373.00","2319.00","2295.00","2305.00","2417.00","2469.00","2553.00","2622.00","2607.00","2705.00","2735.00","2780.00","2825.00","2781.00"
"Rice","Rabi","3042.00","2992.00","2783.00","2947.00","3077.00","3127.00","3130.00","3149.00","3010.00","3053.00","3171.00","3235.00","3353.00","3232.00","3291.00","3382.00","3230.00","3531.00","3444.00","3569.00","3541.00","3525.00","3467.00","3582.00","3606.00","3644.00"
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","3302.00","3302.00","3391.00",""
"Rice","Total","1901.00","2079.00","1744.00","2078.00","1984.00","2102.00","2131.00","2202.00","2178.00","2125.00","2239.00","2393.00","2461.00","2416.00","2391.00","2400.00","2494.00","2576.00","2638.00","2722.00","2717.00","2798.00","2838.00","2882.00","2929.00","2861.00"
"Wheat","Rabi","2708.00","2762.00","2610.00","2713.00","2602.00","2619.00","2708.00","2802.00","2907.00","2839.00","2989.00","3177.00","3117.00","3145.00","2750.00","3034.00","3200.00","3368.00","3533.00","3440.00","3521.00","3537.00","3521.00","3559.00","3595.00","3593.00"
"Wheat","Total","2708.00","2762.00","2610.00","2713.00","2602.00","2619.00","2708.00","2802.00","2907.00","2839.00","2989.00","3177.00","3117.00","3145.00","2750.00","3034.00","3200.00","3368.00","3533.00","3440.00","3521.00","3537.00","3521.00","3559.00","3595.00","3593.00"
"Maize","Kharif","1707.00","1896.00","1552.00","1932.00","1740.00","1799.00","1660.00","2122.00","2048.00","1740.00","2285.00","2234.00","2246.00","2346.00","2249.00","2236.00","2413.00","2706.00","2648.00","2572.00","2779.00","2914.00","2940.00","2671.00","2932.00","3081.00"
"Maize","Rabi","2921.00","2952.00","2851.00","2987.00","3224.00","3076.00","3793.00","3854.00","4387.00","3694.00","4003.00","3765.00","4152.00","4050.00","4414.00","4006.00","3897.00","4436.00","4893.00","4631.00","4723.00","5084.00","5355.00","5529.00","5306.00","5270.00"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","5361.00","4603.00","4528.00",""
"Maize","Total","1822.00","2000.00","1681.00","2041.00","1907.00","1938.00","1912.00","2335.00","2414.00","2024.00","2540.00","2478.00","2566.00","2676.00","2632.00","2563.00","2689.00","3065.00","3070.00","3006.00","3199.00","3387.00","3545.00","3351.00","3590.00","3595.00"
