"Crop","Season","Area-2000-01","Area-2001-02","Area-2002-03","Area-2003-04","Area-2004-05","Area-2005-06","Area-2006-07","Area-2007-08","Area-2008-09","Area-2009-10","Area-2010-11","Area-2011-12","Area-2012-13","Area-2013-14","Area-2014-15","Area-2015-16","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26"
"Rice","Kharif","17.08","17.76","16.81","17.19","16.23","16.58","16.61","15.59","16.82","14.46","16.03","16.62","18.83","19.30","21.53","20.24","22.60","20.23","23.73","19.82","20.80","21.09","34.14","34.40","38.30","42.10"
"Rice","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.29","0.12","0.18","0.34","0.37","0.00","","","0.53",""
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","","0.40","0.02",""
"Rice","Total","17.08","17.76","16.81","17.19","16.23","16.58","16.61","15.59","16.82","14.46","16.03","16.62","18.83","19.30","21.53","20.24","22.89","20.35","23.91","20.16","21.17","21.09","34.14","34.80","38.85","42.10"
"Wheat","Rabi","33.11","37.04","33.82","40.91","41.36","36.93","39.93","37.42","37.85","42.76","43.41","48.89","53.00","53.80","60.02","59.11","60.28","53.16","55.20","65.51","60.83","65.00","71.50","74.97","77.49","81.96"
"Wheat","Total","33.11","37.04","33.82","40.91","41.36","36.93","39.93","37.42","37.85","42.76","43.41","48.89","53.00","53.80","60.02","59.11","60.28","53.16","55.20","65.51","60.83","65.00","71.50","74.97","77.49","81.96"
"Maize","Kharif","8.40","8.54","8.60","9.10","8.96","8.62","8.61","8.80","8.41","8.32","8.31","8.63","8.45","8.68","11.32","10.98","12.63","13.17","12.56","13.83","13.83","14.00","14.48","15.30","20.77","26.93"
"Maize","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.21","0.36","0.11","0.21","0.22","0.00","","","2.22","2.30"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","","0.13","0.04",""
"Maize","Total","8.40","8.54","8.60","9.10","8.96","8.62","8.61","8.80","8.41","8.32","8.31","8.63","8.45","8.68","11.32","10.98","12.84","13.53","12.67","14.04","14.05","14.00","14.48","15.43","23.03","29.23"
"Barley","Rabi","0.83","0.84","0.81","0.84","0.83","0.78","0.59","0.48","0.81","0.85","0.79","0.81","0.85","0.87","0.83","0.97","1.16","1.30","0.83","0.30","0.25","0.16","0.24","0.19","0.24","0.35"
"Barley","Total","0.83","0.84","0.81","0.84","0.83","0.78","0.59","0.48","0.81","0.85","0.79","0.81","0.85","0.87","0.83","0.97","1.16","1.30","0.83","0.30","0.25","0.16","0.24","0.19","0.24","0.35"
