"Crop","Season","Production-2000-01","Production-2001-02","Production-2002-03","Production-2003-04","Production-2004-05","Production-2005-06","Production-2006-07","Production-2007-08","Production-2008-09","Production-2009-10","Production-2010-11","Production-2011-12","Production-2012-13","Production-2013-14","Production-2014-15","Production-2015-16","Production-2016-17","Production-2017-18","Production-2018-19","Production-2019-20","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26"
"Rice","Kharif","9.82","16.93","10.32","17.50","11.69","16.56","13.68","14.62","15.60","12.61","17.72","22.27","27.75","28.45","36.25","35.47","41.57","40.95","44.50","46.84","42.87","48.15","70.22","71.11","89.45","99.81"
"Rice","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.69","0.29","0.45","0.94","1.27","0.00","","","1.58",""
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","","1.29","0.06",""
"Rice","Total","9.82","16.93","10.32","17.50","11.69","16.56","13.68","14.62","15.60","12.61","17.72","22.27","27.75","28.45","36.25","35.47","42.27","41.24","44.95","47.78","44.14","48.15","70.22","72.40","91.09","99.81"
"Wheat","Rabi","48.69","60.01","49.23","73.65","71.77","59.58","73.26","60.32","65.22","84.10","76.27","115.39","131.33","129.37","171.04","176.89","179.39","159.11","165.21","196.07","181.82","229.78","227.30","225.81","245.09","259.25"
"Wheat","Total","48.69","60.01","49.23","73.65","71.77","59.58","73.26","60.32","65.22","84.10","76.27","115.39","131.33","129.37","171.04","176.89","179.39","159.11","165.21","196.07","181.82","229.78","227.30","225.81","245.09","259.25"
"Maize","Kharif","12.18","16.80","14.94","18.66","12.53","12.49","8.40","11.33","11.44","10.45","10.52","12.87","15.14","15.34","21.28","25.80","32.65","34.04","40.90","39.86","37.94","46.07","46.21","42.74","57.88","90.08"
"Maize","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.76","1.33","0.42","0.84","0.88","0.00","","","8.35","9.09"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","","0.65","0.19",""
"Maize","Total","12.18","16.80","14.94","18.66","12.53","12.49","8.40","11.33","11.44","10.45","10.52","12.87","15.14","15.34","21.28","25.80","33.41","35.37","41.31","40.70","38.82","46.07","46.21","43.39","66.42","99.17"
"Barley","Rabi","0.92","1.08","1.02","1.23","1.04","1.00","0.70","0.56","1.01","1.10","1.03","1.38","1.45","1.50","1.04","1.76","2.53","2.98","1.64","0.64","0.48","0.32","0.39","0.33","0.42","0.69"
"Barley","Total","0.92","1.08","1.02","1.23","1.04","1.00","0.70","0.56","1.01","1.10","1.03","1.38","1.45","1.50","1.04","1.76","2.53","2.98","1.64","0.64","0.48","0.32","0.39","0.33","0.42","0.69"
"Jowar","Kharif","4.59","5.76","6.00","9.50","6.29","6.26","5.93","5.90","5.72","5.62","6.14","6.09","5.75","3.71","3.77","4.00","3.79","5.70","1.64","1.65","2.17","2.36","1.69","1.63","1.83","1.02"
"Jowar","Rabi","0.02","0.04","0.03","0.04","0.02","0.02","0.02","0.03","0.02","0.03","0.02","0.06","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"Jowar","Total","4.60","5.80","6.03","9.54","6.31","6.28","5.96","5.93","5.74","5.65","6.16","6.14","5.75","3.73","3.77","4.00","3.79","5.70","1.64","1.65","2.17","2.36","1.69","1.63","1.83","1.02"
"Bajra","Kharif","2.07","2.07","1.27","2.84","2.42","2.72","2.54","2.52","2.41","2.48","3.08","3.44","2.98","3.80","4.45","6.18","6.81","7.55","6.28","6.57","7.38","8.69","9.43","10.03","8.04","6.79"
"Bajra","Total","2.07","2.07","1.27","2.84","2.42","2.72","2.54","2.52","2.41","2.48","3.08","3.44","2.98","3.80","4.45","6.18","6.81","7.55","6.28","6.57","7.38","8.69","9.43","10.03","8.04","6.79"
"Ragi","Kharif","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.01","0.00","0.00","0.00","0.00","0.00","","","",""
"Ragi","Total","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.01","0.00","0.00","0.00","0.00","0.00","","","",""
"Small Millets","Kharif","0.80","1.13","0.91","1.26","1.01","1.00","0.90","0.88","0.89","0.74","0.88","0.82","0.85","1.15","0.72","0.73","1.13","1.44","0.59","0.74","0.69","0.77","1.41","1.36","1.04","1.02"
"Small Millets","Total","0.80","1.13","0.91","1.26","1.01","1.00","0.90","0.88","0.89","0.74","0.88","0.82","0.85","1.15","0.72","0.73","1.13","1.44","0.59","0.74","0.69","0.77","1.41","1.36","1.04","1.02"
"Tur","Kharif","2.10","2.51","1.88","2.56","2.57","2.38","2.20","2.18","2.58","3.08","1.64","3.34","3.51","3.32","5.11","6.25","7.82","8.39","1.80","2.75","2.86","1.90","1.26","1.37","1.27","1.31"
"Tur","Total","2.10","2.51","1.88","2.56","2.57","2.38","2.20","2.18","2.58","3.08","1.64","3.34","3.51","3.32","5.11","6.25","7.82","8.39","1.80","2.75","2.86","1.90","1.26","1.37","1.27","1.31"
"Gram","Rabi","16.20","24.08","17.13","25.85","25.49","23.71","24.13","17.35","27.86","33.04","26.87","32.90","38.12","32.99","29.64","33.64","35.44","45.95","39.97","27.29","32.14","29.31","30.95","29.14","21.09","23.20"
"Gram","Total","16.20","24.08","17.13","25.85","25.49","23.71","24.13","17.35","27.86","33.04","26.87","32.90","38.12","32.99","29.64","33.64","35.44","45.95","39.97","27.29","32.14","29.31","30.95","29.14","21.09","23.20"
"Urad","Kharif","1.03","1.60","1.46","2.25","2.01","1.57","1.52","1.64","1.83","1.90","2.28","1.49","3.86","2.19","4.28","5.15","7.71","12.99","11.33","4.63","3.95","7.78","7.76","5.02","2.39","1.89"
"Urad","Rabi","0.02","0.02","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.03","0.03","0.02","0.04","0.07","0.12","0.02","0.46","0.49","0.57","0.40","0.53","1.06","","","",""
"Urad","Summer","","","","","","","","","","","","","","","","","","","","","","","0.74","0.79","1.51",""
"Urad","Total","1.06","1.62","1.48","2.28","2.04","1.59","1.54","1.66","1.86","1.92","2.31","1.51","3.90","2.26","4.40","5.17","8.17","13.48","11.91","5.03","4.48","8.85","8.50","5.81","3.89","1.89"
"Moong","Kharif","","","","","","","","","","","","","0.40","0.40","0.70","0.78","1.32","1.37","0.38","0.14","0.23","0.32","0.17","0.15","0.21","0.21"
"Moong","Rabi","","","","","","","","","","","","","0.01","1.06","0.54","0.53","1.64","1.29","2.42","2.33","6.19","11.03","","","",""
"Moong","Summer","","","","","","","","","","","","","","","","","","","","","","","14.04","13.77","17.63",""
"Moong","Total","","","","","","","","","","","","","0.41","1.46","1.24","1.31","2.96","2.66","2.80","2.48","6.42","11.35","14.21","13.92","17.84","0.21"
"Lentil","Rabi","2.06","2.40","1.81","2.40","2.48","2.88","2.59","2.06","2.68","2.84","1.78","2.30","3.33","3.38","4.16","3.92","4.47","6.79","3.30","2.94","6.15","4.42","6.36","8.24","6.02","6.01"
"Lentil","Total","2.06","2.40","1.81","2.40","2.48","2.88","2.59","2.06","2.68","2.84","1.78","2.30","3.33","3.38","4.16","3.92","4.47","6.79","3.30","2.94","6.15","4.42","6.36","8.24","6.02","6.01"
"Other Pulses","Kharif","0.30","0.39","0.33","0.43","0.38","0.35","0.36","0.36","0.36","0.36","0.35","0.28","0.07","0.08","0.10","0.06","0.26","0.07","0.01","0.00","0.00","0.00","","","",""
"Other Pulses","Rabi","1.02","1.24","1.13","1.36","1.34","1.42","1.21","0.94","1.48","1.80","0.91","1.29","2.31","2.95","3.63","2.67","3.79","3.78","0.67","0.59","0.90","1.12","1.39","1.27","2.26","2.72"
"Other Pulses","Total","1.32","1.63","1.45","1.80","1.72","1.76","1.57","1.29","1.84","2.16","1.26","1.57","2.38","3.03","3.73","2.73","4.05","3.85","0.68","0.59","0.90","1.12","1.39","1.27","2.26","2.72"
