"Crop","Season","Yield-2000-01","Yield-2001-02","Yield-2002-03","Yield-2003-04","Yield-2004-05","Yield-2005-06","Yield-2006-07","Yield-2007-08","Yield-2008-09","Yield-2009-10","Yield-2010-11","Yield-2011-12","Yield-2012-13","Yield-2013-14","Yield-2014-15","Yield-2015-16","Yield-2016-17","Yield-2017-18","Yield-2018-19","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Kharif","575.00","953.00","614.00","1018.00","720.00","999.00","824.00","938.00","927.00","872.00","1106.00","1340.00","1474.00","1474.00","1684.00","1752.00","1840.00","2024.00","1875.00","2363.00","2061.00","2283.00","2057.00","2067.00","2336.00","2371.00"
"Rice","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","2391.00","2444.00","2493.00","2765.00","3430.00","0.00","","","2974.00",""
"Rice","Summer","","","","","","","","","","","","","","","","","","","","","","","","3215.00","3140.00",""
"Rice","Total","575.00","953.00","614.00","1018.00","720.00","999.00","824.00","938.00","927.00","872.00","1106.00","1340.00","1474.00","1474.00","1684.00","1752.00","1847.00","2026.00","1880.00","2370.00","2085.00","2283.00","2057.00","2080.00","2345.00","2371.00"
"Wheat","Rabi","1471.00","1620.00","1456.00","1800.00","1735.00","1613.00","1835.00","1612.00","1723.00","1967.00","1757.00","2360.00","2478.00","2405.00","2850.00","2993.00","2976.00","2993.00","2993.00","2993.00","2989.00","3535.00","3179.00","3012.00","3163.00","3163.00"
"Wheat","Total","1471.00","1620.00","1456.00","1800.00","1735.00","1613.00","1835.00","1612.00","1723.00","1967.00","1757.00","2360.00","2478.00","2405.00","2850.00","2993.00","2976.00","2993.00","2993.00","2993.00","2989.00","3535.00","3179.00","3012.00","3163.00","3163.00"
"Maize","Kharif","1449.00","1968.00","1738.00","2052.00","1398.00","1450.00","976.00","1288.00","1361.00","1256.00","1266.00","1492.00","1790.00","1767.00","1880.00","2350.00","2585.00","2585.00","3256.00","2882.00","2743.00","3291.00","3191.00","2794.00","2787.00","3345.00"
"Maize","Rabi","","","","","","","","","","","","","0.00","0.00","0.00","0.00","3619.00","3694.00","3809.00","3999.00","3999.00","0.00","","","3762.00","3950.00"
"Maize","Summer","","","","","","","","","","","","","","","","","","","","","","","","4972.00","4860.00",""
"Maize","Total","1449.00","1968.00","1738.00","2052.00","1398.00","1450.00","976.00","1288.00","1361.00","1256.00","1266.00","1492.00","1790.00","1767.00","1880.00","2350.00","2602.00","2615.00","3261.00","2899.00","2763.00","3291.00","3191.00","2812.00","2884.00","3393.00"
"Barley","Rabi","1116.00","1286.00","1256.00","1460.00","1251.00","1288.00","1175.00","1163.00","1259.00","1297.00","1310.00","1707.00","1707.00","1730.00","1257.00","1817.00","2180.00","2289.00","1981.00","2131.00","1919.00","2030.00","1613.00","1740.00","1756.00","1983.00"
"Barley","Total","1116.00","1286.00","1256.00","1460.00","1251.00","1288.00","1175.00","1163.00","1259.00","1297.00","1310.00","1707.00","1707.00","1730.00","1257.00","1817.00","2180.00","2289.00","1981.00","2131.00","1919.00","2030.00","1613.00","1740.00","1756.00","1983.00"
"Jowar","Kharif","722.00","904.00","921.00","1213.00","957.00","1088.00","1039.00","1117.00","1193.00","1267.00","1426.00","1558.00","2011.00","1466.00","1714.00","1951.00","1721.00","2112.00","2189.00","1529.00","1938.00","1919.00","1747.00","1872.00","2033.00","2035.00"
"Jowar","Rabi","727.00","800.00","943.00","1235.00","950.00","1105.00","1042.00","1133.00","1158.00","1280.00","1438.00","1556.00","0.00","1438.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"Jowar","Total","722.00","903.00","921.00","1213.00","957.00","1088.00","1039.00","1117.00","1193.00","1267.00","1426.00","1558.00","2011.00","1466.00","1714.00","1951.00","1721.00","2112.00","2189.00","1529.00","1938.00","1919.00","1747.00","1872.00","2033.00","2035.00"
